,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1959,17,16121,711,91843,23.0,0.928571429,0.0,101.7364465,2710.302215,411.437773,1815.563899,429569.2678,4583283.123,2
1960,12,0,1740,99039,25.0,0.368421053,0.342105263,20.59489948,2933.076549,18.043292,3159.722071,429521.2646,4583739.368,2
1961,17,0,13411,83604,37.0,0.884615385,0.0,667.1988505,3027.608062,439.3984662,2516.413326,430953.0005,4581524.645,2
1962,13,0,3398,99632,26.0,0.40625,0.375,23.40521991,2874.741631,13.6227014,3121.887911,429630.7114,4583802.804,2
1963,17,0,21649,74877,41.0,0.821428571,0.071428571,258.7428577,2949.713375,447.2795131,1870.47445,430747.1906,4581349.436,2
1964,10,12886,9138,84594,24.0,0.93220339,0.033898305,295.1541291,3663.041276,429.0451464,3557.319388,431243.9332,4581631.946,2
1965,5,0,7151,106246,29.0,0.931034483,0.0,454.5426185,3565.035893,400.2232729,3107.325225,431149.3769,4581533.52,2
1966,22,15534,4992,0,1.0,1.0,0.0,111.84653,1935.586229,595.7114322,1918.619554,427223.8788,4583272.251,1
1967,19,97977,4782,0,4.0,1.0,0.0,545.1992342,2163.413153,462.3601859,1606.98844,427954.7957,4584089.559,1
1968,2,0,36376,82344,1.0,1.0,0.0,990.0271845,2036.417731,433.8218537,1857.363699,431409.3176,4582252.583,4
1969,8,44731,44034,2821,1.0,1.0,0.0,343.832885,1596.028781,924.0724091,792.2570303,428370.379,4584816.189,1
1970,9,25976,20657,73030,3.0,0.92,0.0,358.4612381,3545.328685,421.7048557,3222.869511,431297.6819,4581903.069,4
1971,11,38283,31721,52704,7.0,1.0,0.0,632.5179259,2622.73775,580.8516397,2566.471805,431072.4046,4581872.13,4
1972,11,32688,115587,33845,3.0,0.84,0.0,486.0850715,1542.110991,790.497944,1917.735576,427439.6941,4582168.415,4
